F,d,alpha,F_sae,l0_coeff,seed,EV,MMCS,weighted_MMCS,dead_frac,feature_recovery,l0,tm_final_loss,sae_final_loss,param_name,param_value
50,5,0.5,100,0.1,42,0.9869014024734497,0.9022764563560486,0.9122903347015381,0.0,0.5400000214576721,25.14189910888672,0.003585473634302616,0.0005195572157390416,alpha,0.5
50,5,0.5,100,0.1,43,0.9865309000015259,0.9116733074188232,0.9187731146812439,0.009999990463256836,0.5799999833106995,24.125600814819336,0.0034336375538259745,0.0004957203636877239,alpha,0.5
50,5,0.5,100,0.1,44,0.9863153100013733,0.8975960612297058,0.901729941368103,0.0,0.47999998927116394,27.264299392700195,0.00373810320161283,0.0005463858833536506,alpha,0.5
50,5,1.0,100,0.1,42,0.9892920851707458,0.9188192486763,0.9399940371513367,0.029999971389770508,0.699999988079071,19.67140007019043,0.0022621566895395517,0.0005272612906992435,alpha,1.0
50,5,1.0,100,0.1,43,0.9893536567687988,0.9201527237892151,0.9284395575523376,0.04000002145767212,0.699999988079071,21.947399139404297,0.002061249688267708,0.0005152211524546146,alpha,1.0
50,5,1.0,100,0.1,44,0.9886683821678162,0.923992931842804,0.9414518475532532,0.04000002145767212,0.6399999856948853,21.20330047607422,0.0023847997654229403,0.0005473339115269482,alpha,1.0
50,5,1.5,100,0.1,42,0.9913577437400818,0.933845579624176,0.9616991877555847,0.07999998331069946,0.7599999904632568,12.725000381469727,0.001088756718672812,0.000499851768836379,alpha,1.5
50,5,1.5,100,0.1,43,0.9900423288345337,0.9298365116119385,0.9516633749008179,0.019999980926513672,0.7599999904632568,16.458499908447266,0.0009840911952778697,0.0004938860074616969,alpha,1.5
50,5,1.5,100,0.1,44,0.9896791577339172,0.9248124957084656,0.9528650641441345,0.050000011920928955,0.6800000071525574,14.303600311279297,0.001045128796249628,0.0005044586141593754,alpha,1.5
50,5,2.0,100,0.1,42,0.9917893409729004,0.9404246807098389,0.9765252470970154,0.050000011920928955,0.800000011920929,11.766200065612793,0.00043415703112259507,0.00047455524327233434,alpha,2.0
50,5,2.0,100,0.1,43,0.9915056228637695,0.9420378804206848,0.9650639891624451,0.0899999737739563,0.8600000143051147,12.502599716186523,0.00032912229653447866,0.00047159072710201144,alpha,2.0
50,5,2.0,100,0.1,44,0.9898154139518738,0.9315016269683838,0.9652082920074463,0.019999980926513672,0.7400000095367432,14.459199905395508,0.000335166318109259,0.0004874086589552462,alpha,2.0
