F,d,alpha,F_sae,l0_coeff,seed,EV,MMCS,weighted_MMCS,dead_frac,feature_recovery,l0,tm_final_loss,sae_final_loss,param_name,param_value
50,5,1.0,100,0.001,42,0.9911691546440125,0.9259021282196045,0.9303593039512634,0.0,0.7599999904632568,82.7677001953125,0.0022621566895395517,4.099241050425917e-05,l0_coeff,0.001
50,5,1.0,100,0.001,43,0.9926010966300964,0.925553560256958,0.921586275100708,0.0,0.8199999928474426,80.5115966796875,0.002061249688267708,3.436522092670202e-05,l0_coeff,0.001
50,5,1.0,100,0.001,44,0.9922482371330261,0.9302058219909668,0.9280679821968079,0.0,0.7799999713897705,79.36489868164062,0.0023847997654229403,3.3064381568692625e-05,l0_coeff,0.001
50,5,1.0,100,0.003,42,0.9927846193313599,0.9249839782714844,0.9304244518280029,0.0,0.699999988079071,53.297000885009766,0.0022621566895395517,3.204571839887649e-05,l0_coeff,0.003
50,5,1.0,100,0.003,43,0.9942776560783386,0.9244391918182373,0.92238849401474,0.0,0.7599999904632568,51.50920104980469,0.002061249688267708,2.4177237719413824e-05,l0_coeff,0.003
50,5,1.0,100,0.003,44,0.9945566058158875,0.9270002841949463,0.926358163356781,0.0,0.7799999713897705,47.450401306152344,0.0023847997654229403,2.2879361495142803e-05,l0_coeff,0.003
50,5,1.0,100,0.01,42,0.995479941368103,0.9275045990943909,0.9395387172698975,0.0,0.7400000095367432,35.35710144042969,0.0022621566895395517,6.251104059629142e-05,l0_coeff,0.01
50,5,1.0,100,0.01,43,0.9952084422111511,0.9283344149589539,0.9281831979751587,0.0,0.7799999713897705,33.21149826049805,0.002061249688267708,5.999096902087331e-05,l0_coeff,0.01
50,5,1.0,100,0.01,44,0.9951663613319397,0.9251131415367126,0.9304572939872742,0.0,0.7200000286102295,33.60540008544922,0.0023847997654229403,6.418261182261631e-05,l0_coeff,0.01
50,5,1.0,100,0.03,42,0.9937253594398499,0.9347192645072937,0.9496986865997314,0.009999990463256836,0.800000011920929,29.029199600219727,0.0022621566895395517,0.00017154755187220871,l0_coeff,0.03
50,5,1.0,100,0.03,43,0.9947898387908936,0.9250584244728088,0.9273081421852112,0.0,0.699999988079071,29.938899993896484,0.002061249688267708,0.00016414784477092326,l0_coeff,0.03
50,5,1.0,100,0.03,44,0.9935754537582397,0.9321408271789551,0.9488206505775452,0.0,0.7200000286102295,30.926799774169922,0.0023847997654229403,0.00017860945081338286,l0_coeff,0.03
50,5,1.0,100,0.1,42,0.9892920851707458,0.9188192486763,0.9399940371513367,0.029999971389770508,0.699999988079071,19.67140007019043,0.0022621566895395517,0.0005272612906992435,l0_coeff,0.1
50,5,1.0,100,0.1,43,0.9893536567687988,0.9201527237892151,0.9284395575523376,0.04000002145767212,0.699999988079071,21.947399139404297,0.002061249688267708,0.0005152211524546146,l0_coeff,0.1
50,5,1.0,100,0.1,44,0.9886683821678162,0.923992931842804,0.9414518475532532,0.04000002145767212,0.6399999856948853,21.20330047607422,0.0023847997654229403,0.0005473339115269482,l0_coeff,0.1
50,5,1.0,100,0.3,42,0.9749854207038879,0.9129864573478699,0.9438855051994324,0.12000000476837158,0.6000000238418579,15.266900062561035,0.0022621566895395517,0.001536335563287139,l0_coeff,0.3
50,5,1.0,100,0.3,43,0.9739471673965454,0.9140843749046326,0.9210368394851685,0.06999999284744263,0.6600000262260437,16.472400665283203,0.002061249688267708,0.001518225995823741,l0_coeff,0.3
50,5,1.0,100,0.3,44,0.9734213352203369,0.9085592031478882,0.921389102935791,0.06000000238418579,0.5799999833106995,15.950599670410156,0.0023847997654229403,0.0016052515711635351,l0_coeff,0.3
50,5,1.0,100,1.0,42,0.9236798882484436,0.9122140407562256,0.9397977590560913,0.1600000262260437,0.6000000238418579,11.561400413513184,0.0022621566895395517,0.004974683281034231,l0_coeff,1.0
50,5,1.0,100,1.0,43,0.92110276222229,0.9310252666473389,0.9460639953613281,0.1499999761581421,0.7599999904632568,11.07919979095459,0.002061249688267708,0.00489935465157032,l0_coeff,1.0
50,5,1.0,100,1.0,44,0.920894205570221,0.9121289849281311,0.9316697120666504,0.13999998569488525,0.6399999856948853,11.982999801635742,0.0023847997654229403,0.005237571895122528,l0_coeff,1.0
