condition,label,step,epoch,train_loss,eval_loss,learning_rate
image_text,Image + GT state text,10,0.03333333333333333,0.1412340760231018,,0.00019700000000000002
image_text,Image + GT state text,20,0.06666666666666667,0.00765431746840477,,0.0001936666666666667
image_text,Image + GT state text,30,0.1,0.009749221056699753,,0.00019033333333333334
image_text,Image + GT state text,40,0.13333333333333333,0.004680007696151733,,0.00018700000000000002
image_text,Image + GT state text,50,0.16666666666666666,0.0008704464882612229,,0.00018366666666666667
image_text,Image + GT state text,50,0.16666666666666666,,0.0005063812714070082,
image_text,Image + GT state text,60,0.2,0.000246025575324893,,0.00018033333333333334
image_text,Image + GT state text,70,0.23333333333333334,3.1927958480082454e-05,,0.00017700000000000002
image_text,Image + GT state text,80,0.26666666666666666,2.5658521917648613e-05,,0.00017366666666666667
image_text,Image + GT state text,90,0.3,1.8339272355660795e-05,,0.00017033333333333334
image_text,Image + GT state text,100,0.3333333333333333,1.553737820358947e-05,,0.000167
image_text,Image + GT state text,100,0.3333333333333333,,5.7848854339681566e-05,
image_text,Image + GT state text,110,0.36666666666666664,1.307096827076748e-05,,0.00016366666666666667
image_text,Image + GT state text,120,0.4,1.1572822404559702e-05,,0.00016033333333333335
image_text,Image + GT state text,130,0.43333333333333335,1.1655932030407713e-05,,0.00015700000000000002
image_text,Image + GT state text,140,0.4666666666666667,9.064929326996207e-06,,0.00015366666666666667
image_text,Image + GT state text,150,0.5,9.529929229756817e-06,,0.00015033333333333335
image_text,Image + GT state text,150,0.5,,3.4428940125508234e-05,
image_text,Image + GT state text,160,0.5333333333333333,7.081725198077038e-06,,0.000147
image_text,Image + GT state text,170,0.5666666666666667,7.036330498522148e-06,,0.00014366666666666667
image_text,Image + GT state text,180,0.6,2.1258463675621897e-05,,0.00014033333333333335
image_text,Image + GT state text,190,0.6333333333333333,5.540248457691632e-06,,0.00013700000000000002
image_text,Image + GT state text,200,0.6666666666666666,5.311816858011298e-06,,0.00013366666666666667
image_text,Image + GT state text,200,0.6666666666666666,,8.29150030767778e-06,
image_text,Image + GT state text,210,0.7,5.100846101413481e-06,,0.00013033333333333332
image_text,Image + GT state text,220,0.7333333333333333,5.348527702153661e-06,,0.000127
image_text,Image + GT state text,230,0.7666666666666667,4.928121052216739e-06,,0.00012366666666666667
image_text,Image + GT state text,240,0.8,4.3194315367145466e-06,,0.00012033333333333335
image_text,Image + GT state text,250,0.8333333333333334,4.307777271606028e-06,,0.000117
image_text,Image + GT state text,250,0.8333333333333334,,6.3541269810230006e-06,
image_text,Image + GT state text,260,0.8666666666666667,4.841183908865787e-06,,0.00011366666666666667
image_text,Image + GT state text,270,0.9,4.128469299757853e-06,,0.00011033333333333334
image_text,Image + GT state text,280,0.9333333333333333,4.0136539610102774e-06,,0.00010700000000000001
image_text,Image + GT state text,290,0.9666666666666667,3.6681871279142796e-06,,0.00010366666666666666
image_text,Image + GT state text,300,1.0,4.3899606680497525e-06,,0.00010033333333333335
image_text,Image + GT state text,300,1.0,,5.4765296226833016e-06,
image_text,Image + GT state text,310,1.0333333333333334,3.7738311220891775e-06,,9.7e-05
image_text,Image + GT state text,320,1.0666666666666667,3.90964669350069e-06,,9.366666666666668e-05
image_text,Image + GT state text,330,1.1,3.559626202331856e-06,,9.033333333333334e-05
image_text,Image + GT state text,340,1.1333333333333333,3.299075979157351e-06,,8.7e-05
image_text,Image + GT state text,350,1.1666666666666667,3.3921838621608914e-06,,8.366666666666668e-05
image_text,Image + GT state text,350,1.1666666666666667,,4.493697360885562e-06,
image_text,Image + GT state text,360,1.2,3.3526426705066116e-06,,8.033333333333334e-05
image_text,Image + GT state text,370,1.2333333333333334,3.137861494906247e-06,,7.7e-05
image_text,Image + GT state text,380,1.2666666666666666,3.0079980206210165e-06,,7.366666666666668e-05
image_text,Image + GT state text,390,1.3,3.009117062902078e-06,,7.033333333333334e-05
image_text,Image + GT state text,400,1.3333333333333333,2.669452442205511e-06,,6.7e-05
image_text,Image + GT state text,400,1.3333333333333333,,4.337035534263123e-06,
image_text,Image + GT state text,410,1.3666666666666667,2.8855780328740367e-06,,6.366666666666668e-05
image_text,Image + GT state text,420,1.4,2.8965410820092075e-06,,6.033333333333334e-05
image_text,Image + GT state text,430,1.4333333333333333,2.8601818485185506e-06,,5.6999999999999996e-05
image_text,Image + GT state text,440,1.4666666666666668,2.684351238713134e-06,,5.3666666666666666e-05
image_text,Image + GT state text,450,1.5,2.740602576523088e-06,,5.0333333333333335e-05
image_text,Image + GT state text,450,1.5,,3.8141106415423565e-06,
image_text,Image + GT state text,460,1.5333333333333332,2.714972106332425e-06,,4.7e-05
image_text,Image + GT state text,470,1.5666666666666667,2.539738125051372e-06,,4.3666666666666666e-05
image_text,Image + GT state text,480,1.6,2.9350221666391008e-06,,4.0333333333333336e-05
image_text,Image + GT state text,490,1.6333333333333333,2.784477146633435e-06,,3.7e-05
image_text,Image + GT state text,500,1.6666666666666665,2.5369801733177157e-06,,3.366666666666667e-05
image_text,Image + GT state text,500,1.6666666666666665,,3.807931989285862e-06,
image_text,Image + GT state text,510,1.7,2.948160545201972e-06,,3.0333333333333337e-05
image_text,Image + GT state text,520,1.7333333333333334,2.845411654561758e-06,,2.7000000000000002e-05
image_text,Image + GT state text,530,1.7666666666666666,2.572144512669183e-06,,2.3666666666666668e-05
image_text,Image + GT state text,540,1.8,2.3511633116868324e-06,,2.0333333333333334e-05
image_text,Image + GT state text,550,1.8333333333333335,2.5469635147601366e-06,,1.7000000000000003e-05
image_text,Image + GT state text,550,1.8333333333333335,,3.4773947845678777e-06,
image_text,Image + GT state text,560,1.8666666666666667,2.5355617253808306e-06,,1.3666666666666666e-05
image_text,Image + GT state text,570,1.9,2.392588066868484e-06,,1.0333333333333333e-05
image_text,Image + GT state text,580,1.9333333333333333,2.4898932679207065e-06,,7.000000000000001e-06
image_text,Image + GT state text,590,1.9666666666666668,2.5110526621574537e-06,,3.666666666666667e-06
image_text,Image + GT state text,600,2.0,2.670260255399626e-06,,3.3333333333333335e-07
image_text,Image + GT state text,600,2.0,,3.708203166752355e-06,
image_only,Image-only,10,0.03333333333333333,0.27261297702789306,,0.00019700000000000002
image_only,Image-only,20,0.06666666666666667,0.13761551380157472,,0.0001936666666666667
image_only,Image-only,30,0.1,0.10771934986114502,,0.00019033333333333334
image_only,Image-only,40,0.13333333333333333,0.08229177594184875,,0.00018700000000000002
image_only,Image-only,50,0.16666666666666666,0.07780158519744873,,0.00018366666666666667
image_only,Image-only,50,0.16666666666666666,,0.06076788529753685,
image_only,Image-only,60,0.2,0.07456687688827515,,0.00018033333333333334
image_only,Image-only,70,0.23333333333333334,0.06490660905838012,,0.00017700000000000002
image_only,Image-only,80,0.26666666666666666,0.04740655124187469,,0.00017366666666666667
image_only,Image-only,90,0.3,0.06050959229469299,,0.00017033333333333334
image_only,Image-only,100,0.3333333333333333,0.034686771035194394,,0.000167
image_only,Image-only,100,0.3333333333333333,,0.08267689496278763,
image_only,Image-only,110,0.36666666666666664,0.07627561092376708,,0.00016366666666666667
image_only,Image-only,120,0.4,0.04397279918193817,,0.00016033333333333335
image_only,Image-only,130,0.43333333333333335,0.04559201002120972,,0.00015700000000000002
image_only,Image-only,140,0.4666666666666667,0.03912683725357056,,0.00015366666666666667
image_only,Image-only,150,0.5,0.03136862516403198,,0.00015033333333333335
image_only,Image-only,150,0.5,,0.039567191153764725,
image_only,Image-only,160,0.5333333333333333,0.030793595314025878,,0.000147
image_only,Image-only,170,0.5666666666666667,0.021401435136795044,,0.00014366666666666667
image_only,Image-only,180,0.6,0.023559561371803282,,0.00014033333333333335
image_only,Image-only,190,0.6333333333333333,0.02852957844734192,,0.00013700000000000002
image_only,Image-only,200,0.6666666666666666,0.017173612117767335,,0.00013366666666666667
image_only,Image-only,200,0.6666666666666666,,0.022092029452323914,
image_only,Image-only,210,0.7,0.008623272180557251,,0.00013033333333333332
image_only,Image-only,220,0.7333333333333333,0.014032815396785737,,0.000127
image_only,Image-only,230,0.7666666666666667,0.011937514692544938,,0.00012366666666666667
image_only,Image-only,240,0.8,0.013996796309947967,,0.00012033333333333335
image_only,Image-only,250,0.8333333333333334,0.013533535599708556,,0.000117
image_only,Image-only,250,0.8333333333333334,,0.024220071732997894,
image_only,Image-only,260,0.8666666666666667,0.014313113689422608,,0.00011366666666666667
image_only,Image-only,270,0.9,0.008550022542476655,,0.00011033333333333334
image_only,Image-only,280,0.9333333333333333,0.01571306437253952,,0.00010700000000000001
image_only,Image-only,290,0.9666666666666667,0.008932986855506897,,0.00010366666666666666
image_only,Image-only,300,1.0,0.004823648929595947,,0.00010033333333333335
image_only,Image-only,300,1.0,,0.005755578633397818,
image_only,Image-only,310,1.0333333333333334,0.0037614673376083372,,9.7e-05
image_only,Image-only,320,1.0666666666666667,0.0023504873737692834,,9.366666666666668e-05
image_only,Image-only,330,1.1,0.006611239165067673,,9.033333333333334e-05
image_only,Image-only,340,1.1333333333333333,0.0022646814584732057,,8.7e-05
image_only,Image-only,350,1.1666666666666667,0.010186332464218139,,8.366666666666668e-05
image_only,Image-only,350,1.1666666666666667,,0.008766881190240383,
image_only,Image-only,360,1.2,0.012552793323993682,,8.033333333333334e-05
image_only,Image-only,370,1.2333333333333334,0.006515705585479736,,7.7e-05
image_only,Image-only,380,1.2666666666666666,0.003052639961242676,,7.366666666666668e-05
image_only,Image-only,390,1.3,0.004285392165184021,,7.033333333333334e-05
image_only,Image-only,400,1.3333333333333333,0.0025313561782240868,,6.7e-05
image_only,Image-only,400,1.3333333333333333,,0.0038716490380465984,
image_only,Image-only,410,1.3666666666666667,0.005653013661503792,,6.366666666666668e-05
image_only,Image-only,420,1.4,0.0020372526720166205,,6.033333333333334e-05
image_only,Image-only,430,1.4333333333333333,0.0014961259439587593,,5.6999999999999996e-05
image_only,Image-only,440,1.4666666666666668,0.00043333801440894606,,5.3666666666666666e-05
image_only,Image-only,450,1.5,0.0013926963321864605,,5.0333333333333335e-05
image_only,Image-only,450,1.5,,0.0017843934474512935,
image_only,Image-only,460,1.5333333333333332,0.00035248505882918836,,4.7e-05
image_only,Image-only,470,1.5666666666666667,0.0005885773804038763,,4.3666666666666666e-05
image_only,Image-only,480,1.6,0.0011501757428050042,,4.0333333333333336e-05
image_only,Image-only,490,1.6333333333333333,0.000687127886340022,,3.7e-05
image_only,Image-only,500,1.6666666666666665,0.0017924100160598756,,3.366666666666667e-05
image_only,Image-only,500,1.6666666666666665,,0.0015714424662292004,
image_only,Image-only,510,1.7,0.000725611113011837,,3.0333333333333337e-05
image_only,Image-only,520,1.7333333333333334,0.0030948689207434656,,2.7000000000000002e-05
image_only,Image-only,530,1.7666666666666666,0.001029313076287508,,2.3666666666666668e-05
image_only,Image-only,540,1.8,0.0006647164933383465,,2.0333333333333334e-05
image_only,Image-only,550,1.8333333333333335,0.00013324664905667305,,1.7000000000000003e-05
image_only,Image-only,550,1.8333333333333335,,0.0013361175078898668,
image_only,Image-only,560,1.8666666666666667,0.0003967327531427145,,1.3666666666666666e-05
image_only,Image-only,570,1.9,0.00011738616740331054,,1.0333333333333333e-05
image_only,Image-only,580,1.9333333333333333,0.00038587197195738554,,7.000000000000001e-06
image_only,Image-only,590,1.9666666666666668,0.0003916599787771702,,3.666666666666667e-06
image_only,Image-only,600,2.0,8.527413592673838e-05,,3.3333333333333335e-07
image_only,Image-only,600,2.0,,0.0010736167896538973,
