F,d,alpha,F_sae,l0_coeff,seed,EV,MMCS,weighted_MMCS,dead_frac,feature_recovery,l0,tm_final_loss,sae_final_loss,param_name,param_value
50,5,1.0,50,0.1,42,0.9795955419540405,0.890849232673645,0.906236469745636,0.0,0.41999998688697815,10.392900466918945,0.0022621566895395517,0.0010725512402132154,F_sae,50
50,5,1.0,50,0.1,43,0.9802065491676331,0.8784195780754089,0.8953972458839417,0.0,0.46000000834465027,9.666299819946289,0.002061249688267708,0.0010248123435303569,F_sae,50
50,5,1.0,50,0.1,44,0.979981005191803,0.8799321055412292,0.9058071374893188,0.0,0.4399999976158142,10.1451997756958,0.0023847997654229403,0.0011091611813753843,F_sae,50
50,5,1.0,100,0.1,42,0.9892920851707458,0.9188192486763,0.9399940371513367,0.029999971389770508,0.699999988079071,19.67140007019043,0.0022621566895395517,0.0005272612906992435,F_sae,100
50,5,1.0,100,0.1,43,0.9893536567687988,0.9201527237892151,0.9284395575523376,0.04000002145767212,0.699999988079071,21.947399139404297,0.002061249688267708,0.0005152211524546146,F_sae,100
50,5,1.0,100,0.1,44,0.9886683821678162,0.923992931842804,0.9414518475532532,0.04000002145767212,0.6399999856948853,21.20330047607422,0.0023847997654229403,0.0005473339115269482,F_sae,100
50,5,1.0,200,0.1,42,0.9937714338302612,0.9475269317626953,0.9552671313285828,0.06000000238418579,0.8999999761581421,42.13970184326172,0.0022621566895395517,0.0002710696426220238,F_sae,200
50,5,1.0,200,0.1,43,0.9930358529090881,0.944023609161377,0.954674482345581,0.08499997854232788,0.8999999761581421,41.986900329589844,0.002061249688267708,0.00026328052626922727,F_sae,200
50,5,1.0,200,0.1,44,0.9934414625167847,0.9430422186851501,0.9523972868919373,0.06000000238418579,0.8600000143051147,42.877201080322266,0.0023847997654229403,0.0002744387893471867,F_sae,200
50,5,1.0,400,0.1,42,0.9958051443099976,0.9635589718818665,0.9610142707824707,0.23250001668930054,1.0,65.94280242919922,0.0022621566895395517,0.00013800128363072872,F_sae,400
50,5,1.0,400,0.1,43,0.9945735931396484,0.9569506645202637,0.9564440250396729,0.2524999976158142,1.0,80.1688003540039,0.002061249688267708,0.00014447240391746163,F_sae,400
50,5,1.0,400,0.1,44,0.9948446154594421,0.9673797488212585,0.9728423357009888,0.23250001668930054,1.0,75.90650177001953,0.0023847997654229403,0.0001407568051945418,F_sae,400
